,Name,Rank,True_Rank,Score,Location,Tuition,Total_Enrollment,Acceptance_Rate,Retention_Rate,Graduation_Rate,X,Ranking_Value,Return_Value,Total_Cost,Duration_Value,Loan
1,American University - Washington D.C.,70,71,52 out of 100.,"Washington, DC","$41,833","12,819",0.43,0.9,0.8,286,421,295100,217900,4 Years,33680
2,Andrews University,163,168,29 out of 100.,"Berrien Springs, MI","$26,262","3,516",0.39,0.79,0.6,612,935,140200,132800,5 Years,29760
3,Arizona State University,124,129,39 out of 100.,"Tempe, AZ","in-state: $9,811, out-of-state: $23,312","48,739",0.8,0.83,0.59,159,214,398700,94300,4 Years,25240
4,Ashland University,198,RNP,U.S. News calculated a numerical rank but does not publish it.,"Ashland, OH","$19,852","5,979",0.72,0.72,0.56,792,1215,-81400,166400,4 Years,35240
5,Auburn University,98,103,45 out of 100.,"Auburn University, AL","in-state: $10,200, out-of-state: $27,384","24,864",0.83,0.89,0.68,143,192,410400,92600,5 Years,28680
6,Ball State University,169,173,28 out of 100.,"Muncie, IN","in-state: $9,344, out-of-state: $24,610","20,503",0.61,0.79,0.6,539,823,168400,84600,5 Years,27760
7,Barry University,199,RNP,U.S. News calculated a numerical rank but does not publish it.,"Miami Shores, FL","$28,160","9,030",0.47,0.6,0.37,406,610,234100,168900,5 Years,29600
8,Baylor University,71,71,52 out of 100.,"Waco, TX","$38,290","15,616",0.58,0.86,0.75,380,564,251600,191400,4 Years,50400
9,Biola University,156,161,31 out of 100.,"La Mirada, CA","$33,322","6,323",0.75,0.86,0.69,595,909,145300,177700,4 Years,42000
10,Boston College,30,31,69 out of 100.,"Chestnut Hill, MA","$47,436","13,525",0.32,0.95,0.91,100,130,472300,230700,4 Years,18640
11,Boston University,41,42,62 out of 100.,"Boston, MA","$46,664","32,411",0.37,0.92,0.84,173,241,380800,232200,4 Years,40800
12,Bowie State University,201,RNP,U.S. News calculated a numerical rank but does not publish it.,"Bowie, MD","in-state: $6,971, out-of-state: $17,538","5,561",0.52,0.72,0.38,492,745,191400,77700,5 Years,26640
13,"Bowling Green State University - Bowling Green, OH",170,173,28 out of 100.,"Bowling Green, OH","in-state: $10,726, out-of-state: $18,034","16,958",0.73,0.72,0.54,473,716,201900,91100,5 Years,28120
14,Brandeis University,34,35,66 out of 100.,"Waltham, MA","$47,833","5,825",0.37,0.93,0.9,299,439,290600,230500,4 Years,29360
15,Brigham Young University,61,62,56 out of 100.,"Provo, UT","$5,000","31,123",0.49,0.87,0.77,33,42,615700,67300,5 Years,22200
16,Brown University,15,16,84 out of 100.,"Providence, RI","$47,434","8,943",0.09,0.98,0.94,13,15,723900,229100,4 Years,24640
17,California Institute of Technology,9,10,91 out of 100.,"Pasadena, CA","$43,362","2,181",0.11,0.97,0.93,1,2,901400,221600,4 Years,22160
18,Cardinal Stritch University,202,RNP,U.S. News calculated a numerical rank but does not publish it.,"Milwaukee, WI","$26,570",,0.42,0.69,0.5,366,542,261000,152000,4 Years,25200
19,Carnegie Mellon University,24,25,75 out of 100.,"Pittsburgh, PA","$48,786","12,991",0.26,0.95,0.88,20,25,688500,234500,4 Years,34960
20,Case Western Reserve University,37,38,64 out of 100.,"Cleveland, OH","$43,158","10,325",0.42,0.93,0.8,47,58,583000,220000,4 Years,29800
21,Catholic University of America,111,116,42 out of 100.,"Washington, DC","$39,726","6,725",0.6,0.82,0.69,222,318,334900,215200,4 Years,35600
22,Central Michigan University,189,194,25 out of 100.,"Mount Pleasant, MI","in-state: $11,550, out-of-state: $23,670","26,902",0.63,0.77,0.59,460,696,208800,84200,5 Years,26640
23,Clark Atlanta University,203,RNP,U.S. News calculated a numerical rank but does not publish it.,"Atlanta, GA","$21,334","3,458",0.57,0.64,0.39,663,1020,107500,135500,5 Years,37680
24,"Clarkson University - Potsdam, NY",116,121,41 out of 100.,"Potsdam, NY","$42,530","3,726",0.64,0.87,0.75,35,45,609000,214000,4 Years,34760
25,Clemson University,62,62,56 out of 100.,"Clemson, SC","in-state: $13,382, out-of-state: $30,816","21,303",0.57,0.91,0.82,97,127,474600,108400,4 Years,51600
26,Cleveland State University,204,RNP,U.S. News calculated a numerical rank but does not publish it.,"Cleveland, OH","in-state: $9,473, out-of-state: $12,653","17,741",0.63,0.66,0.32,251,369,313700,99300,5 Years,25000
27,Colorado School of Mines,84,88,48 out of 100.,"Golden, CO","in-state: $16,918, out-of-state: $33,598","5,608",0.36,0.9,0.7,3,4,831000,112000,5 Years,30480
28,Colorado State University,117,121,41 out of 100.,"Fort Collins, CO","in-state: $9,897, out-of-state: $26,077","31,256",0.77,0.85,0.64,178,249,377900,85100,5 Years,24600
29,Columbia University,3,4,95 out of 100.,"New York, NY","$51,008","23,606",0.07,0.99,0.96,43,54,591400,241600,4 Years,32720
30,"Cornell University - Ithaca, NY",14,15,85 out of 100.,"Ithaca, NY","$47,286","21,593",0.16,0.97,0.93,38,49,600000,233000,4 Years,24840
31,Dartmouth College,10,11,90 out of 100.,"Hanover, NH","$48,108","6,342",0.1,0.98,0.95,36,47,604600,238700,4 Years,21360
